booking_id,property_id,market_segment,distribution_channel,lead_time_band,deposit_type,actual_is_canceled,predicted_cancellation_risk,risk_band,lost_revenue
SW035819,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.3947,Medium risk,0.0
SW035826,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1586,Low risk,0.0
SW035839,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW035843,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW035917,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.2921,Medium risk,0.0
SW035955,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW035973,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW035977,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3071,Medium risk,0.0
SW035987,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW035993,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW036003,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.2877,Medium risk,0.0
SW036011,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3429,Medium risk,0.0
SW036026,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW036047,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1586,Low risk,0.0
SW036049,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3464,Medium risk,0.0
SW036065,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW036130,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3842,Medium risk,0.0
SW036161,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW036171,P001,Groups,Direct,181+ days,No Deposit,0,0.3835,Medium risk,0.0
SW036209,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW036212,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW036242,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.4241,Medium risk,0.0
SW036266,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW036303,P001,Corporate,Corporate,0-7 days,No Deposit,0,0.1284,Low risk,0.0
SW036343,P001,Groups,TA/TO,91-180 days,No Deposit,0,0.4543,High risk,0.0
SW036348,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4203,Medium risk,0.0
SW036350,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.1974,Low risk,0.0
SW036369,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW036422,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW036435,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3429,Medium risk,0.0
SW036459,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW036464,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW036468,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW036472,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3429,Medium risk,0.0
SW036484,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.2761,Medium risk,0.0
SW036501,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.2648,Medium risk,0.0
SW036510,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3442,Medium risk,0.0
SW036513,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1901,Low risk,0.0
SW036518,P001,Direct,Direct,0-7 days,No Deposit,0,0.067,Low risk,0.0
SW036529,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW036560,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.2396,Low risk,0.0
SW036570,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW036586,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW036656,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4203,Medium risk,0.0
SW036664,P001,Groups,Direct,181+ days,No Deposit,0,0.3835,Medium risk,0.0
SW036667,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.2877,Medium risk,0.0
SW036678,P001,Direct,Direct,0-7 days,No Deposit,0,0.0657,Low risk,0.0
SW036740,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW036750,P001,Offline TA/TO,TA/TO,8-30 days,No Deposit,0,0.3407,Medium risk,0.0
SW036843,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW036878,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW036931,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW036933,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW037003,P001,Online TA,Direct,31-90 days,No Deposit,0,0.1948,Low risk,0.0
SW037057,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1255,Low risk,0.0
SW037073,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.3947,Medium risk,0.0
SW037080,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3415,Medium risk,0.0
SW037094,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW037102,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3464,Medium risk,0.0
SW037126,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3071,Medium risk,0.0
SW037172,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3564,Medium risk,0.0
SW037197,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3515,Medium risk,0.0
SW037231,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW037244,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3564,Medium risk,0.0
SW037269,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW037299,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.4241,Medium risk,0.0
SW037346,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW037347,P001,Corporate,Corporate,0-7 days,No Deposit,0,0.1284,Low risk,0.0
SW037354,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW037364,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.3507,Medium risk,0.0
SW037389,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.2511,Medium risk,0.0
SW037410,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW037432,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3071,Medium risk,0.0
SW037451,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW037454,P001,Direct,Direct,31-90 days,No Deposit,0,0.127,Low risk,0.0
SW037502,P001,Direct,Direct,91-180 days,No Deposit,0,0.1438,Low risk,0.0
SW037513,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3429,Medium risk,0.0
SW037551,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW037577,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW037602,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2289,Low risk,0.0
SW037607,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3415,Medium risk,0.0
SW037628,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.2877,Medium risk,0.0
SW037630,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3515,Medium risk,0.0
SW037650,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3071,Medium risk,0.0
SW037668,P001,Direct,Direct,0-7 days,No Deposit,0,0.0657,Low risk,0.0
SW037701,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW037722,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4203,Medium risk,0.0
SW037753,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW037763,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4203,Medium risk,0.0
SW037778,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW037828,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.2718,Medium risk,0.0
SW037829,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.2648,Medium risk,0.0
SW037837,P001,Direct,Direct,181+ days,No Deposit,0,0.1682,Low risk,0.0
SW037859,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW037881,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW037915,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3026,Medium risk,0.0
SW037924,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2482,Low risk,0.0
SW037931,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW037939,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3564,Medium risk,0.0
SW037942,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3515,Medium risk,0.0
SW037948,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3071,Medium risk,0.0
SW037968,P001,Direct,Direct,31-90 days,No Deposit,0,0.1956,Low risk,0.0
SW038039,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW038059,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW038071,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4203,Medium risk,0.0
SW038176,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4203,Medium risk,0.0
SW038178,P001,Direct,Direct,91-180 days,No Deposit,0,0.1438,Low risk,0.0
SW038186,P001,Direct,Direct,31-90 days,No Deposit,0,0.1294,Low risk,0.0
SW038201,P001,Direct,Direct,91-180 days,No Deposit,0,0.0756,Low risk,0.0
SW038220,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.4754,High risk,0.0
SW038231,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1255,Low risk,0.0
SW038254,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW038255,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1586,Low risk,0.0
SW038285,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW038291,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.4241,Medium risk,0.0
SW038357,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW038428,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW038453,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1255,Low risk,0.0
SW038463,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW038470,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW038505,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW038567,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.2877,Medium risk,0.0
SW038653,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW038670,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW038672,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2482,Low risk,0.0
SW038681,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW038685,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2482,Low risk,0.0
SW038692,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW038697,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.2921,Medium risk,0.0
SW038716,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3564,Medium risk,0.0
SW038723,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3415,Medium risk,0.0
SW038738,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW038751,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW038753,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW038771,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3515,Medium risk,0.0
SW038781,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.4241,Medium risk,0.0
SW038830,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW038891,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW038975,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW038986,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW038987,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW039009,P001,Direct,Direct,91-180 days,No Deposit,0,0.1411,Low risk,0.0
SW039022,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW039108,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.1974,Low risk,0.0
SW039111,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2482,Low risk,0.0
SW039118,P001,Direct,Direct,181+ days,No Deposit,0,0.1712,Low risk,0.0
SW039125,P001,Direct,Direct,181+ days,No Deposit,0,0.2526,Medium risk,0.0
SW039133,P001,Direct,Direct,0-7 days,No Deposit,0,0.067,Low risk,0.0
SW039140,P001,Direct,Direct,91-180 days,No Deposit,0,0.1699,Low risk,0.0
SW039211,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW039222,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW039224,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW039227,P001,Direct,Direct,31-90 days,No Deposit,0,0.127,Low risk,0.0
SW039241,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1586,Low risk,0.0
SW039252,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2252,Low risk,0.0
SW039290,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4203,Medium risk,0.0
SW039295,P001,Offline TA/TO,TA/TO,8-30 days,No Deposit,0,0.3018,Medium risk,0.0
SW039307,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW039316,P001,Direct,Direct,31-90 days,No Deposit,0,0.127,Low risk,0.0
SW039319,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW039322,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW039357,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW039364,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW039379,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.2418,Low risk,0.0
SW039388,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3925,Medium risk,0.0
SW039419,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW039447,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW039470,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2252,Low risk,0.0
SW039473,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3564,Medium risk,0.0
SW039508,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3464,Medium risk,0.0
SW039530,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.4754,High risk,0.0
SW039536,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3429,Medium risk,0.0
SW039538,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW039553,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.2921,Medium risk,0.0
SW039567,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.2921,Medium risk,0.0
SW039577,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW039597,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW039600,P001,Direct,Direct,181+ days,No Deposit,0,0.2012,Low risk,0.0
SW039609,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2482,Low risk,0.0
SW039619,P001,Direct,Direct,181+ days,No Deposit,0,0.1712,Low risk,0.0
SW039652,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW039692,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW039693,P001,Direct,Direct,181+ days,No Deposit,0,0.1682,Low risk,0.0
SW039740,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.3947,Medium risk,0.0
SW039825,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW039830,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW039835,P001,Direct,Direct,91-180 days,No Deposit,0,0.1411,Low risk,0.0
SW039858,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3026,Medium risk,0.0
SW039863,P001,Offline TA/TO,TA/TO,8-30 days,No Deposit,0,0.2046,Low risk,0.0
SW039875,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3415,Medium risk,0.0
SW039894,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2252,Low risk,0.0
SW039933,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.301,Medium risk,0.0
SW040002,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW040027,P001,Direct,Direct,181+ days,No Deposit,0,0.1712,Low risk,0.0
SW040044,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3564,Medium risk,0.0
SW040136,P002,Online TA,TA/TO,31-90 days,No Deposit,0,0.3947,Medium risk,0.0
SW040174,P002,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3442,Medium risk,0.0
SW040190,P002,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,229.5
SW040214,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040307,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040320,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040328,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040393,P002,Groups,TA/TO,91-180 days,No Deposit,0,0.4543,High risk,0.0
SW040405,P002,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,248.5
SW040406,P002,Online TA,TA/TO,91-180 days,No Deposit,1,0.3058,Medium risk,153.0
SW040411,P002,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.3442,Medium risk,283.5
SW040426,P002,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3442,Medium risk,0.0
SW040442,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040484,P002,Groups,TA/TO,8-30 days,Non Refund,1,0.8742,High risk,18.6
SW040493,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040500,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040539,P002,Online TA,TA/TO,31-90 days,No Deposit,0,0.3947,Medium risk,0.0
SW040540,P002,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.2761,Medium risk,0.0
SW040563,P002,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3442,Medium risk,0.0
SW040578,P002,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.3442,Medium risk,283.5
SW040621,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040643,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.1387,Low risk,0.0
SW040655,P002,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW040663,P002,Groups,TA/TO,31-90 days,No Deposit,1,0.4243,Medium risk,124.0
SW040669,P002,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW040686,P002,Groups,TA/TO,31-90 days,No Deposit,1,0.4243,Medium risk,124.0
SW040688,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW040724,P002,Corporate,Corporate,8-30 days,No Deposit,0,0.1583,Low risk,0.0
SW040731,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.1387,Low risk,0.0
SW040761,P002,Online TA,TA/TO,8-30 days,No Deposit,0,0.1974,Low risk,0.0
SW040769,P002,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW040847,P002,Groups,TA/TO,8-30 days,No Deposit,1,0.3791,Medium risk,258.0
SW040858,P002,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.3442,Medium risk,283.5
SW040881,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.2085,Low risk,0.0
SW040889,P002,Groups,TA/TO,8-30 days,No Deposit,0,0.3791,Medium risk,0.0
SW040954,P002,Online TA,Direct,0-7 days,No Deposit,0,0.0874,Low risk,0.0
SW040964,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.3106,Medium risk,0.0
SW040967,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.1387,Low risk,0.0
SW040971,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.3106,Medium risk,0.0
SW040989,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041016,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041034,P002,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,153.0
SW041050,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.1362,Low risk,0.0
SW041072,P002,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW041079,P002,Direct,Direct,0-7 days,No Deposit,0,0.067,Low risk,0.0
SW041105,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.3106,Medium risk,0.0
SW041115,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041117,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041125,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.2085,Low risk,0.0
SW041146,P002,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW041161,P002,Online TA,Undefined,8-30 days,No Deposit,1,0.2034,Low risk,535.5
SW041181,P002,Offline TA/TO,TA/TO,31-90 days,No Deposit,1,0.3173,Medium risk,203.0
SW041208,P002,Offline TA/TO,TA/TO,0-7 days,No Deposit,1,0.1834,Low risk,218.0
SW041221,P002,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3173,Medium risk,0.0
SW041223,P002,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3173,Medium risk,0.0
SW041225,P002,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3173,Medium risk,0.0
SW041233,P002,Offline TA/TO,TA/TO,0-7 days,No Deposit,1,0.1834,Low risk,218.0
SW041246,P002,Offline TA/TO,TA/TO,31-90 days,No Deposit,1,0.3173,Medium risk,203.0
SW041289,P002,Offline TA/TO,TA/TO,0-7 days,No Deposit,1,0.1834,Low risk,218.0
SW041348,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.1255,Low risk,0.0
SW041360,P002,Online TA,TA/TO,0-7 days,No Deposit,1,0.1387,Low risk,324.0
SW041366,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041437,P002,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.3442,Medium risk,283.5
SW041442,P002,Online TA,TA/TO,8-30 days,No Deposit,1,0.2482,Low risk,99.0
SW041468,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.2085,Low risk,0.0
SW041481,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041506,P002,Corporate,Corporate,0-7 days,No Deposit,1,0.1284,Low risk,360.0
SW041508,P002,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW041554,P002,Direct,Direct,0-7 days,No Deposit,1,0.1052,Low risk,114.0
SW041556,P002,Online TA,TA/TO,8-30 days,No Deposit,0,0.2164,Low risk,0.0
SW041589,P002,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW041689,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041705,P002,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3442,Medium risk,0.0
SW041751,P002,Online TA,TA/TO,0-7 days,No Deposit,1,0.2396,Low risk,48.0
SW041771,P002,Online TA,TA/TO,8-30 days,No Deposit,0,0.2128,Low risk,0.0
SW041778,P002,Direct,Direct,0-7 days,No Deposit,0,0.067,Low risk,0.0
SW041800,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041801,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041828,P002,Groups,TA/TO,0-7 days,No Deposit,0,0.2626,Medium risk,0.0
SW041831,P002,Groups,TA/TO,31-90 days,No Deposit,1,0.4243,Medium risk,248.0
SW041854,P002,Groups,TA/TO,31-90 days,No Deposit,1,0.4243,Medium risk,248.0
SW041890,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041905,P002,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW041935,P002,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,235.6
SW041974,P002,Online TA,TA/TO,8-30 days,No Deposit,1,0.2128,Low risk,90.0
SW042031,P002,Direct,Direct,8-30 days,No Deposit,1,0.1677,Low risk,79.0
SW042082,P002,Corporate,Corporate,0-7 days,No Deposit,0,0.1284,Low risk,0.0
SW042097,P002,Groups,TA/TO,0-7 days,No Deposit,0,0.3234,Medium risk,0.0
SW042102,P002,Groups,TA/TO,91-180 days,No Deposit,0,0.3372,Medium risk,0.0
SW042144,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.2085,Low risk,0.0
SW042155,P002,Online TA,TA/TO,8-30 days,No Deposit,0,0.3507,Medium risk,0.0
SW042177,P002,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW042180,P002,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW042218,P002,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW042220,P002,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW042238,P002,Online TA,TA/TO,0-7 days,No Deposit,0,0.1586,Low risk,0.0
SW042246,P002,Online TA,TA/TO,8-30 days,No Deposit,0,0.3112,Medium risk,0.0
